,edit_count,sentiment,neg_sentiment
2016-12-07,2.6333333333333333,-0.32035152240405007,0.5007142857142858
2016-12-08,2.3666666666666667,-0.3566317057325727,0.5201587301587302
2016-12-09,2.2,-0.3711539393379575,0.5296825396825396
2016-12-10,1.9666666666666666,-0.34885295828183494,0.5011111111111111
2016-12-11,1.8333333333333333,-0.360996908346812,0.5077777777777778
2016-12-12,1.6666666666666667,-0.3397232711315155,0.4811111111111111
2016-12-13,1.7,-0.37293408115704857,0.5144444444444445
2016-12-14,1.5,-0.35924479911724727,0.5061111111111111
2016-12-15,1.5333333333333334,-0.39098175913095473,0.5394444444444445
2016-12-16,1.5333333333333334,-0.39098175913095473,0.5394444444444445
2016-12-17,1.4,-0.37354934215545654,0.5144444444444445
2016-12-18,1.7666666666666666,-0.36495140683956634,0.5093162393162394
2016-12-19,1.9666666666666666,-0.37355348928507426,0.5093162393162394
2016-12-20,2.2,-0.3585606866949425,0.500982905982906
2016-12-21,2.066666666666667,-0.387597226487957,0.5143162393162394
2016-12-22,2.066666666666667,-0.38759095607932664,0.5143162393162394
2016-12-23,2.1333333333333333,-0.38776134291029235,0.530982905982906
2016-12-24,2.1666666666666665,-0.4210675223542875,0.5643162393162393
2016-12-25,1.9666666666666666,-0.43160768222877977,0.5532051282051282
2016-12-26,1.9333333333333333,-0.4635992991136471,0.5532051282051282
2016-12-27,1.9333333333333333,-0.4635992991136471,0.5532051282051282
2016-12-28,1.9333333333333333,-0.4635992991136471,0.5532051282051282
2016-12-29,1.9333333333333333,-0.4635992991136471,0.5532051282051282
2016-12-30,2.033333333333333,-0.49684135521851913,0.5865384615384616
2016-12-31,2.066666666666667,-0.502606633028086,0.5865384615384616
2017-01-01,2.066666666666667,-0.502606633028086,0.5865384615384616
2017-01-02,1.9333333333333333,-0.46990817128356555,0.5698717948717948
2017-01-03,2.1333333333333333,-0.5256028975349861,0.5984432234432234
2017-01-04,2.066666666666667,-0.49254038187883276,0.5651098901098901
2017-01-05,2.0,-0.45944542540134964,0.5317765567765568
2017-01-06,2.0,-0.4592897678715187,0.5317765567765568
2017-01-07,1.8666666666666667,-0.42604957573634367,0.4984432234432235
2017-01-08,1.8666666666666667,-0.43033398343147816,0.4984432234432235
2017-01-09,2.066666666666667,-0.4278766783047581,0.5151098901098902
2017-01-10,2.1666666666666665,-0.39514602144249916,0.4984432234432235
2017-01-11,3.9,-0.40596372615523246,0.5202380952380953
2017-01-12,4.1,-0.39611661933517134,0.5154761904761905
2017-01-13,4.066666666666666,-0.4254944036668109,0.5321428571428571
2017-01-14,4.033333333333333,-0.39375744365310344,0.49880952380952387
2017-01-15,4.066666666666666,-0.42677940232213013,0.5321428571428571
2017-01-16,4.066666666666666,-0.42677940232213013,0.5321428571428571
2017-01-17,3.6666666666666665,-0.4350463768874405,0.5372710622710622
2017-01-18,3.5,-0.4035774363966725,0.5206043956043956
2017-01-19,3.2333333333333334,-0.3858484413615804,0.4956043956043956
2017-01-20,3.2,-0.3525432294996521,0.4622710622710623
2017-01-21,3.2,-0.3525749431443156,0.4622710622710623
2017-01-22,3.1333333333333333,-0.35240455631334994,0.44560439560439563
2017-01-23,3.1,-0.31909837686935477,0.4122710622710623
2017-01-24,3.5,-0.3297377557945193,0.43449328449328456
2017-01-25,3.5,-0.3297377557945193,0.43449328449328456
2017-01-26,3.5,-0.3297377557945193,0.43449328449328456
2017-01-27,3.5,-0.3297377557945193,0.43449328449328456
2017-01-28,3.5,-0.3297377557945193,0.43449328449328456
2017-01-29,3.4,-0.29649569968964734,0.40115995115995123
2017-01-30,3.3,-0.2635620168240807,0.3678266178266179
2017-01-31,3.3,-0.2635620168240807,0.3678266178266179
2017-02-01,3.3333333333333335,-0.23044606063683246,0.3511599511599512
2017-02-02,3.1,-0.20777454077833593,0.3225885225885226
2017-02-03,3.1,-0.20777454077833593,0.3225885225885226
2017-02-04,3.1666666666666665,-0.2128252893649906,0.33925518925518927
2017-02-05,3.1333333333333333,-0.1796776264869541,0.30592185592185595
2017-02-06,3.1666666666666665,-0.21172440548373958,0.33925518925518927
2017-02-07,3.1333333333333333,-0.21174099246296982,0.33925518925518927
2017-02-08,2.933333333333333,-0.21419829758968983,0.3225885225885226
2017-02-09,2.8,-0.2137140575346056,0.30592185592185595
2017-02-10,1.1333333333333333,-0.2246250154716628,0.31746031746031744
2017-02-11,0.9,-0.20126131226619084,0.2888888888888889
2017-02-12,0.8666666666666667,-0.16884700904289882,0.2555555555555556
2017-02-13,0.8666666666666667,-0.16884700904289882,0.2555555555555556
2017-02-14,0.8666666666666667,-0.10450976143280664,0.22222222222222227
2017-02-15,0.8666666666666667,-0.10450976143280664,0.22222222222222227
2017-02-16,0.8333333333333334,-0.07153269896904628,0.18888888888888894
2017-02-17,0.7666666666666667,-0.0715551848212878,0.17222222222222225
2017-02-18,0.7666666666666667,-0.0715551848212878,0.17222222222222225
2017-02-19,0.8,-0.039362742006778716,0.17222222222222225
2017-02-20,0.7666666666666667,-0.0060426150759061254,0.13888888888888892
2017-02-21,0.7666666666666667,-0.0060426150759061254,0.13888888888888892
2017-02-22,0.7666666666666667,-0.0060426150759061254,0.13888888888888892
2017-02-23,0.36666666666666664,0.0045967638492584156,0.11666666666666668
2017-02-24,0.36666666666666664,0.0045967638492584156,0.11666666666666668
